ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
1029,Cháo Lòng Minh Mập,"32B Hậu Giang, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 15.000,Quận 6,15000,15000,15000.0
1030,"Hủ Tiếu Thái Lan, Trà Sữa Thái, Ăn Vặt - Pi Thai - 05 Hậu Giang","Số 5 Hậu Giang, P. 2, Quận 6, TP. HCM",07:00 - 21:30,0 - 0,Quận 6,0,0,0.0
1031,Cơm Tấm Cali - Nguyễn Thị Nhỏ,"87D - 87E Nguyễn Thị Nhỏ, Quận 6, TP. HCM",00:00 - 00:00,50.000 - 70.000,Quận 6,50000,70000,60000.0
1032,A Đại - Sủi Cảo & Mì - Vành Đai,"24 Vành Đai, P. 10, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 35.000,Quận 6,25000,35000,30000.0
1033,Lâm Phát Ký - Hủ Tiếu Mì Sa Tế Nai,"309 Lê Quang Sung, P. 6, Quận 6, TP. HCM",06:30 - 13:30 | 16:00 - 23:00,35.000 - 55.000,Quận 6,35000,55000,45000.0
1034,Cơm Tấm 3 Chị Em - Lò Gốm,"703 Lò Gốm, P. 9, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 50.000,Quận 6,25000,50000,37500.0
1035,Cá Viên Chiên - Trà Sữa Su Su,"Kios 13 Đường 32, P. 10, Quận 6, TP. HCM",00:00 - 00:00,20.000 - 50.000,Quận 6,20000,50000,35000.0
1036,7 Bún Riêu,"122 Hậu Giang, P. 6, Quận 6, TP. HCM",00:00 - 00:00,25.000 - 40.000,Quận 6,25000,40000,32500.0
1037,Bánh Sữa Pate Chiên Trứng,"405A/1 Hậu Giang, P. 11, Quận 6, TP. HCM",00:00 - 00:00,18.000 - 20.000,Quận 6,18000,20000,19000.0
1038,Cơm Gà Xối Mỡ Chị Tuyết,"916 Hậu Giang, Quận 6, TP. HCM",00:00 - 00:00,30.000 - 50.000,Quận 6,30000,50000,40000.0
1039,Ăn Vặt Cá Viên Chiên 3 Vị - 73 Văn Thân,"73 Văn Thân, P. 8, Quận 6, TP. HCM",00:00 - 00:00,0 - 0,Quận 6,0,0,0.0
1040,Bắp Mỹ Hấp Lá Dứa,"2S Lê Quang Sung, P. 2, Quận 6, TP. HCM",09:00 - 09:30,10.000 - 20.000,Quận 6,10000,20000,15000.0
1041,Bánh Canh Cua 260 - Chợ Lớn,"32 Đường Chợ Lớn, P. 11, Quận 6, TP. HCM",06:00 - 21:00,30.000 - 50.000,Quận 6,30000,50000,40000.0
1042,Chè Bưởi Vĩnh Long - 55 Hậu Giang,"55 Hậu Giang, P. 2, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 45.000,Quận 6,15000,45000,30000.0
1043,Ngọc Liên Châu - Bánh Bao Tươi - Hậu Giang,"1076 Hậu Giang, P. 12, Quận 6, TP. HCM",06:30 - 22:00,20.000 - 40.000,Quận 6,20000,40000,30000.0
1044,"Bún Mọc, Bánh Canh Gạo & Bún Gạo - Phạm Văn Chí","290 Phạm Văn Chí, P. 4, Quận 6, TP. HCM",05:38 - 10:00,23.000 - 25.000,Quận 6,23000,25000,24000.0
1045,Gà Ta Sơn Ca - Cháo & Gỏi Gà,"180A Phạm Văn Chí, Quận 6, TP. HCM",00:00 - 00:00,20.000 - 20.000,Quận 6,20000,20000,20000.0
1046,Gà Nướng Muối Ớt 68B - Đăng Nguyên Cẩn,"68B Đặng Nguyên Cẩn, P.14, Quận 6, TP. HCM",00:00 - 00:00,95.000 - 180.000,Quận 6,95000,180000,137500.0
1047,Công Hằng - Bánh Canh Chả Cá Nha Trang - D17 Cư Xá Phú Lâm B,"D17 Cư Xá Phú Lâm B, P. 13, Quận 6, TP. HCM",07:00 - 23:00,10.000 - 35.000,Quận 6,10000,35000,22500.0
1048,Mr. Béo - Cháo Hàu & Bột Chiên - Hậu Giang,"506B1 Hậu Giang, P. 12, Quận 6, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 6,10000,100000,55000.0
1049,Hai Be - Cơm Tấm & Bún Thịt Nướng - Chợ Lớn,"255 Chợ Lớn, P. 11, Quận 6, TP. HCM",06:00 - 16:29,25.000 - 35.000,Quận 6,25000,35000,30000.0
1050,Ốc 235A,"235A Mai Xuân Thưởng, P. 6, Quận 6, TP. HCM",00:00 - 00:00,50.000 - 110.000,Quận 6,50000,110000,80000.0
1051,Bắp Rang Bơ - Hậu Giang,"188 Hậu Giang, P. 6, Quận 6, TP. HCM",00:00 - 00:00,10.000 - 20.000,Quận 6,10000,20000,15000.0
