ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
293,Cháo Lòng 67,"27 Nguyễn Quý Đức, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,2.000 - 180.000,Quận 2,2000,180000,91000.0
294,The Chicken Stop - Burger Gà Quay Kiểu Pháp - Xa Lộ Hà Nội,"628C Xa Lộ Hà Nội, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,35.000 - 45.000,Quận 2,35000,45000,40000.0
295,Fruit Land - Trái Cây Hộp Cắt Sẵn,"Shophouse Sarimi B1 - 00.08, Khu Đô Thị Sala, 10 Mai Chí Thọ, P. An Lợi Đông, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 60.000,Quận 2,40000,60000,50000.0
296,Chăm Pa Quán - Phở Hà Nội,"40 Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 80.000,Quận 2,10000,80000,45000.0
297,Cơm Gà Hải Nam & Các Loại Sốt,"9/17A Đường Số 14, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,5.000 - 45.000,Quận 2,5000,45000,25000.0
298,Get Me - Cơm Gà Rán Karaage,"26A Đường Số 2, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,35.000 - 65.000,Quận 2,35000,65000,50000.0
299,Phở & Bánh Canh Cá Lóc - Nguyễn Thị Định,"289/1 Nguyễn Thị Định, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,18.000 - 35.000,Quận 2,18000,35000,26500.0
300,Kem BUD'S - Vincom Mega Mall,"Tầng 4, Vincom Mega Mall, 161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 88.000,Quận 2,40000,88000,64000.0
301,Cake By Harry Bakery - Shop Online,"47 Trần Ngọc Diện, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,25.000 - 70.000,Quận 2,25000,70000,47500.0
302,Cơm Xôi Bún Hải Âu - Ăn Sáng - Trần Não,"150 Trần Não, P. Bình An, Quận 2, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
303,Ốc Pé Chuột - Đường 17 - Shop Online,"49/16/5 Đường 17, P. Bình Trưng Đông, Quận 2, TP. HCM",00:00 - 00:00,70.000 - 120.000,Quận 2,70000,120000,95000.0
304,OEm - Cơm Chiên Các Loại & Bún Bò Huế Chính Gốc,"134 Đường Số 39, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 50.000,Quận 2,10000,50000,30000.0
305,"Bún Sài Gòn - Bún Mắm, Bún Măng & Bún Huế","26 Đường Số 25, P. Bình An, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 45.000,Quận 2,10000,45000,27500.0
306,Cháo Ếch Chị Em - Nguyễn Thị Định,"196 Nguyễn Thị Định, P. An Phú, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,5.000 - 140.000,Quận 2,5000,140000,72500.0
307,KAZAMA - Japanese Fusion Restaurant,"14B15 Đường Thảo Điền, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,200.000 - 300.000,Quận 2,200000,300000,250000.0
308,Mea Culpa Italian,"204C Nguyễn Văn Hưởng, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,100.000 - 500.000,Quận 2,100000,500000,300000.0
309,Quán Ăn 1976 - Món Ngon Vị Bắc - Đường Số 20,"2 Đường Số 20 Trần Não, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 2,10000,100000,55000.0
310,FEURO - International Food - Đường Số 47,"51 Đường Số 47, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 350.000,Quận 2,40000,350000,195000.0
311,Marduk - Korean Restaurant - An Phú,"11 Thái Thuận, Phường An Phú, Quận 2, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
312,Gourmet - Food & Drink,"Tầng 7, 9E Đường Số 59, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,50.000 - 150.000,Quận 2,50000,150000,100000.0
313,DuHo - Lẩu 7 Tầng,"25/3 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 300.000,Quận 2,20000,300000,160000.0
314,Summer Crab - Xuân Thủy,"28 Xuân Thuỷ, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 1.262.000,Quận 2,30000,1262000,646000.0
315,Kungfu Chicken - The Vista An Phú,"P1.04B The Vista An Phú, 628 Xa Lộ Hà Nội, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,35.000 - 335.000,Quận 2,35000,335000,185000.0
316,Á Châu - Gà Muối Xông Khói - Shop Online - Nguyễn Duy Trinh,"383 Nguyễn Duy Trinh, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,25.000 - 140.000,Quận 2,25000,140000,82500.0
317,Home Kitchen - Nhà Hàng Giá Phải Chăng Cho Bữa Ăn Gia Đình - Đường F,"I34 Đường F, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,25.000 - 500.000,Quận 2,25000,500000,262500.0
318,Cơm Gà 52 Đăklăk Hoàng Phát,"Số 9 Đường 13, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,35.000 - 55.000,Quận 2,35000,55000,45000.0
319,Phở Bò Hà Nội Since 1981,"460 Nguyễn Thị Định, P. Thạnh Mỹ Lợi, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 250.000,Quận 2,40000,250000,145000.0
320,Trái Cây Tô Bảo Bối,"6 Nguyễn Tư Ngiêm, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,15.000 - 40.000,Quận 2,15000,40000,27500.0
321,Gosu Sushi,"74 Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,50.000 - 200.000,Quận 2,50000,200000,125000.0
322,Bún Đậu Anh Em - Nguyễn Duy Trinh,"480 Nguyễn Duy Trinh, P. Bình Trưng Đông, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 140.000,Quận 2,20000,140000,80000.0
323,Quán Bún Bò Hai Quân - Trần Lựu,"142 Trần Lựu, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 70.000,Quận 2,40000,70000,55000.0
324,Hủ Tiếu Hồng Phát Thảo Điền - Xuân Thủy,"102A Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,45.000 - 300.000,Quận 2,45000,300000,172500.0
325,Chicken Story - Gà Chiên Hàn Quốc - Song Hành,"467A Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,60.000 - 300.000,Quận 2,60000,300000,180000.0
326,Nhà Hàng Sành Quán - Món Ngon Lạ,"22 Song Hành, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 100.000,Quận 2,20000,100000,60000.0
327,Há Cảo Nhà Làm - Song Hành,"Lô B Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 40.000,Quận 2,20000,40000,30000.0
328,"Bà Tư Huế - Bún Bò, Phở Bò & Lẩu Bò","65 Nguyễn Tư Nghiêm, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,35.000 - 250.000,Quận 2,35000,250000,142500.0
329,Ớt Xanh 1 - Cháo Ếch Singapore,"Nhà Số 15 Đường 31D, P. An Phú, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,20.000 - 150.000,Quận 2,20000,150000,85000.0
330,The Black Banh - Fresh Juicy Burgers,"35 Võ Trường Toản, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 142.000,Quận 2,10000,142000,76000.0
331,Cheese Hotdog - Phô Mai Tan Chảy - Nguyễn Thị Định,"148 Nguyễn Thị Định, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,15.000 - 100.000,Quận 2,15000,100000,57500.0
332,Điểm Tâm Nắng Xuân - Bún Bò & Bún Mộc,"1 Đường Số 21, P. Bình Trưng Đông, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 35.000,Quận 2,20000,35000,27500.0
333,Nhà Hàng Cơm Niêu Sài Gòn - Xuân Thủy,"75 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,150.000 - 500.000,Quận 2,150000,500000,325000.0
334,Bếp Chị Ba - Cơm Gà Hải Nam,"23B Lê Văn Miến, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 80.000,Quận 2,10000,80000,45000.0
335,Phở Hotpot - Vincom Mega Mall Thảo Điền,"Tầng 4, Lầu 4 Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 55.000,Quận 2,30000,55000,42500.0
336,La Vita Bakery - Thảo Điền,"73 Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 500.000,Quận 2,10000,500000,255000.0
337,Phở Ông Tây,"16/9 Nguyễn Văn Hưởng, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,20.000 - 50.000,Quận 2,20000,50000,35000.0
338,Hokkaido Baked Cheese Tart - Estella Place,"Tầng 4, Estella Place, L4-29B, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,29.000 - 189.000,Quận 2,29000,189000,109000.0
339,Cocorico - Gà Nướng Pháp Rotisserie - Đường F,"134 Đường F, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,59.000 - 329.000,Quận 2,59000,329000,194000.0
340,Bún Bò Huế Hạnh - Lương Định Của,"76 Lương Định Của, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,30.000 - 35.000,Quận 2,30000,35000,32500.0
341,Bob Chef - Nhà Hàng Hàn Quốc - Lexington Residence,"LA - 0104 Lexington Residence, 67 Mai Chí Thọ, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,80.000 - 450.000,Quận 2,80000,450000,265000.0
342,"Funny Eatery - Bánh Canh, Nui & Hủ Tiếu Mì - Quốc Hương","51 Quốc Hương, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,45.000 - 50.000,Quận 2,45000,50000,47500.0
343,Cơm Gà Xối Mỡ 1A - Cơm Gà Xối Mỡ - Lương Định Của,"1A Lương Định Của, P. Bình An, Quận 2, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
344,Vợ Chồng A Food - Cơm Văn Phòng - Trương Văn Bang,"128 Trương Văn Bang, P. Thạch Mỹ Lợi, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 50.000,Quận 2,20000,50000,35000.0
345,Cugini - Italian Restaurant,"19 Trần Ngọc Diện, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,100.000 - 500.000,Quận 2,100000,500000,300000.0
346,Zone - Gaming Lounge & Coffee,"23 Đường Số 7, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 50.000,Quận 2,20000,50000,35000.0
347,Mì Quảng Mỹ Sơn - Đường 22,"3 Đường 22, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,55.000 - 99.000,Quận 2,55000,99000,77000.0
348,Bò Né A Đù,"771a Đường Số 5, P. Bình An, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,17.000 - 62.000,Quận 2,17000,62000,39500.0
349,Nhớ Mãi Quán - Cơm Chiên & Mì Xào - Quốc Hương,"44 Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 35.000,Quận 2,30000,35000,32500.0
350,"Quán O Hảo - Bánh Canh, Bánh Bèo & Bánh Đúc Nóng - Đường Số 14","64 Đường Số 14, P. An Khánh, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,6.000 - 25.000,Quận 2,6000,25000,15500.0
351,Chả lụa Kim Hoàng Phát - Masteri,"T5 Masteri, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,50.000 - 100.000,Quận 2,50000,100000,75000.0
352,The Vintage Emporium Cafe - Thảo Điền,"1 Đường Số 39, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 100.000,Quận 2,40000,100000,70000.0
353,A&T Food - Shop Online,"109 Đường Số 8, P. Bình An, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 150.000,Quận 2,10000,150000,80000.0
354,Bros Steak - Bò Sốt & Mì Ý - Đường Số 39,"178 Đường Số 39, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,15.000 - 49.000,Quận 2,15000,49000,32000.0
355,Dookki Food Truck,"628C Xa Lộ Hà Nội, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,7.000 - 159.000,Quận 2,7000,159000,83000.0
356,Red - Vegetarian Food & Drink - The Sun Avenue,"00-28 Tháp S3 The Sun Avenue, 28 Mai Chí Thọ, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,18.000 - 320.000,Quận 2,18000,320000,169000.0
357,"Hải Phòng Quán - Bánh Đa Cua, Bún Cá & Bún Riêu Chả Lá Lốt","110 Đường 51 Khu Văn Minh, P. An Phú, Quận 2, TP. HCM",06:00 - 21:00,45.000 - 60.000,Quận 2,45000,60000,52500.0
358,Louisiana Famous Fried Chicken - Trần Não,"102 Trần Não, P. Bình An, Quận 2, TP. HCM",00:00 - 00:00,39.000 - 200.000,Quận 2,39000,200000,119500.0
359,Ngọc Linh Quán - Đặc Sản Dê Ninh Bình,"47/1 Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,15.000 - 450.000,Quận 2,15000,450000,232500.0
360,Lẩu Công Chúa - Vincom Mega Mall Thảo Điền,"Tầng 5, Gian Hàng F5B - Red Pot Tầng 5, Vincom Mega Mall Thảo Điền, 159 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,50.000 - 200.000,Quận 2,50000,200000,125000.0
361,Kem Ý Gelato Puppy & Cesar - Đường Số 46,"19 Đường Số 46, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,27.000 - 164.000,Quận 2,27000,164000,95500.0
362,Bún Sạch - Bò Tươi,"59 Vũ Tông Phan, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 100.000,Quận 2,30000,100000,65000.0
363,Thiên Ân Quán - Cơm Văn Phòng,"86A Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,25.000 - 50.000,Quận 2,25000,50000,37500.0
364,Mr. Singh - Nhà Hàng Ấn Độ,"152 Nguyễn Văn Hưởng, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 200.000,Quận 2,30000,200000,115000.0
365,Korean Food & Mexican Chicken,"573 Nguyễn Duy Trinh, P. Bình Trưng Đông, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 300.000,Quận 2,10000,300000,155000.0
366,Bếp Nhà Thỏ - Foods & Drink - Xuân Thủy,"83 Xuân Thủy, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 450.000,Quận 2,20000,450000,235000.0
367,Terrace Cafe - Vincom MegaMall,"Tầng 1, Tầng 1, 161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,50.000 - 300.000,Quận 2,50000,300000,175000.0
368,Ccomaya Thảo Điền Restaurant - 9 Đường Số 6,"9 Đường Số 6, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 200.000,Quận 2,20000,200000,110000.0
369,O Ry - Bún Bò Huế,"39A Lê Văn Thịnh, P. Bình Trưng Đông, Quận 2, TP. HCM",00:00 - 00:00,35.000 - 45.000,Quận 2,35000,45000,40000.0
370,Hà Ký - Hủ Tiếu Mì Tàu,"5 Nguyễn Quý Đức, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,45.000 - 55.000,Quận 2,45000,55000,50000.0
371,Cheesecake Ngon - Lê Văn Miến,"23B Lê Văn Miến, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,20.000 - 55.000,Quận 2,20000,55000,37500.0
372,Gà Nướng Đất Sét - Shop Online,"79 Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,350.000 - 350.000,Quận 2,350000,350000,350000.0
373,Trứng Vịt Lộn O ĐEN - Đường 42,"15 Đường 42, P. Bình Trưng Đông, Quận 2, TP. HCM",00:00 - 00:00,10.000 - 11.000,Quận 2,10000,11000,10500.0
374,Cơm Tấm & Bánh Xèo Miền Tây - Thanh Hằng,"20 Nguyễn Quý Cảnh, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 120.000,Quận 2,20000,120000,70000.0
375,Lẩu Dê Cây Bàng - Nguyễn Quý Cảnh,"21 Nguyễn Quý Cảnh, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 250.000,Quận 2,30000,250000,140000.0
376,Mì Ơi - Mì Tươi - Quốc Hương,"14E Quốc Hương, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,60.000 - 115.000,Quận 2,60000,115000,87500.0
377,Mixue 66 - Quốc Hương,"66 Quốc Hương, P.Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
378,Cơm Nhà O Sim,"311 - I8 Đường E, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 45.000,Quận 2,30000,45000,37500.0
379,Hai Chị Em - Hamburger & Mì Ý,"8/15 Đường Số 49B, P. Thảo Điển, Quận 2, TP. HCM",00:00 - 00:00,79.000 - 200.000,Quận 2,79000,200000,139500.0
380,Gánh - Bún Bò Huế & Bún Riêu,"86 Song Hành, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 60.000,Quận 2,40000,60000,50000.0
381,Cơm Tấm Sườn Cây 999 - Trần Não,"160 Trần Não, P. An Khánh, Quận 2, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
382,Baba's Kitchen - Ẩm Thực Ấn Độ - Lê Văn Miến,"35 Lê Văn Miến, P. Thảo Điền, Quận 2, TP. HCM",00:00 - 00:00,15.000 - 340.000,Quận 2,15000,340000,177500.0
383,WICOOK - Ẩm Thực Việt Nam,"251B Lương Định Của, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,40.000 - 600.000,Quận 2,40000,600000,320000.0
384,The Lien House - Món Ngon Hà Nội - The Krista Apartment,"T002 The Krista Apartment, 537 Nguyễn Duy Trinh, P. Bình Trưng Tây, Quận 2, TP. HCM",06:30 - 15:00 | 17:00 - 21:30,40.000 - 150.000,Quận 2,40000,150000,95000.0
385,Kiwi Kitchen - Bánh & Món Ngon Nhà Làm - Chung Cư Imperia,"Block C Chung Cư Imperia, Mai Chí Thọ, P. An Phú, Quận 2, TP. HCM",00:00 - 00:00,25.000 - 500.000,Quận 2,25000,500000,262500.0
386,"Bún Thịt Nướng, Bún Xào & Bánh Ướt - Chợ Bình Khánh","K040 Chợ Bình Khánh, Đường Số 7, Quận 2, TP. HCM",06:00 - 12:00,15.000 - 20.000,Quận 2,15000,20000,17500.0
387,Sữa Chua Nhà Làm & Sữa Hạt - Nguyễn Duy Trinh,"359/4 Nguyễn Duy Trinh, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
388,Stews - Món Ngon Bắc Âu,"Chung Cư Đức Khải, Đường Số 4, P. Bình Khánh, Quận 2, TP. HCM",00:00 - 00:00,100.000 - 150.000,Quận 2,100000,150000,125000.0
389,Bò Né 86 - Nguyễn Duy Trinh,"403 Nguyễn Duy Trinh, P. Bình Trưng Tây, Quận 2, TP. HCM",00:00 - 00:00,20.000 - 65.000,Quận 2,20000,65000,42500.0
390,Đặc Sản Hải Phòng - Trương Văn Bang,"126 Trương Văn Bang, P. Thạnh Mỹ Lợi, Quận 2, TP. HCM",00:00 - 00:00,30.000 - 60.000,Quận 2,30000,60000,45000.0
391,Cơm Gà Phile Áp Chảo - Bếp Cô Mười,"195A Nguyễn Thị Định, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",06:30 - 23:59,0 - 0,Quận 2,0,0,0.0
392,Bread&Butter Streetfood - Đường Số 11,"14 Đường Số 11, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",00:00 - 00:00,0 - 0,Quận 2,0,0,0.0
393,Bánh Tráng Muối Tỏi - Cao Thắng,"32/5A Cao Thắng, P. 5, Quận 3, TP. HCM",00:00 - 00:00,10.000 - 100.000,Quận 3,10000,100000,55000.0
394,Tré Trộn Cóc Giang Hoàng - Nguyễn Thượng Hiền,"68 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",00:00 - 00:00,40.000 - 50.000,Quận 3,40000,50000,45000.0
395,Bún Bò O Hương - Cách Mạng Tháng 8,"444/2/2 Cách Mạng Tháng 8, P. 11, Quận 3, TP. HCM",00:00 - 00:00,25.000 - 35.000,Quận 3,25000,35000,30000.0
396,Bready Bánh Mì Tươi - Burger Đĩa Bay - Bà Huyện Thanh Quan,"25 Bà Huyện Thanh Quan, P. 6, Quận 3, TP. HCM",06:15 - 20:30,10.000 - 44.000,Quận 3,10000,44000,27000.0
397,Quán Chay Liên Yến,"7A Trần Văn Đang, P. 9, Quận 3, TP. HCM",00:00 - 00:00,5.000 - 60.000,Quận 3,5000,60000,32500.0
398,San Fu Lou - Ẩm Thực Quảng Đông - Cao Thắng,"2A Cao Thắng, P. 5, Quận 3, TP. HCM",00:00 - 00:00,30.000 - 190.000,Quận 3,30000,190000,110000.0
399,Bakes Saigon,"47B Trần Cao Vân, P. 6, Quận 3, TP. HCM",00:00 - 00:00,35.000 - 700.000,Quận 3,35000,700000,367500.0
400,Ốc Hút Chụt Chụt,"306/27 Nguyễn Thị Minh Khai, P. 5, Quận 3, TP. HCM",00:00 - 00:00,38.000 - 55.000,Quận 3,38000,55000,46500.0
401,Naked Sushi & Sashimi,"193A/6 Nam Kì Khởi Nghĩa, P. Võ Thị Sáu, Quận 3, TP. HCM",00:00 - 00:00,40.000 - 200.000,Quận 3,40000,200000,120000.0
402,Bún Ốc Sườn Cô Sáu - Hai Bà Trưng,"457 Hai Bà Trưng, P. 8, Quận 3, TP. HCM",06:30 - 23:57,30.000 - 35.000,Quận 3,30000,35000,32500.0
403,Kebab Sài Gòn - Nguyễn Thượng Hiền,"9 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",06:45 - 21:10,25.000 - 45.000,Quận 3,25000,45000,35000.0
404,Bảo Bảo - Bánh Mì Thịt Bò Nướng - Nguyễn Thượng Hiền,"1 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",00:00 - 00:00,25.000 - 25.000,Quận 3,25000,25000,25000.0
405,Matsu Sushi - Trường Sa,"886 Trường Sa, P. 13, Quận 3, TP. HCM",00:00 - 00:00,30.000 - 80.000,Quận 3,30000,80000,55000.0
406,The Jade - Bánh Sầu Riêng Kem Lạnh - Cách Mạng Tháng 8,"358/2/15A Cách Mạng Tháng 8, P. 10, Quận 3, TP. HCM",00:00 - 00:00,15.000 - 40.000,Quận 3,15000,40000,27500.0
407,Bánh Tráng Ngon Ngon - Hoàng Sa,"563/12 Hoàng Sa, P. 7, Quận 3, TP. HCM",00:00 - 00:00,5.000 - 22.000,Quận 3,5000,22000,13500.0
408,Sâm Bổ Lượng 399 - Nguyễn Đình Chiểu,"399/14 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",00:00 - 00:00,10.000 - 33.000,Quận 3,10000,33000,21500.0
409,Bánh Mứt Thành Long,"291/2 Võ Văn Tần, P. 5, Quận 3, TP. HCM",00:00 - 00:00,30.000 - 200.000,Quận 3,30000,200000,115000.0
410,No.96 - Quán 96 Lẩu & Nướng - Võ Văn Tần,"133 Võ Văn Tần, P. Võ Thị Sáu, Quận 3, TP. HCM",00:00 - 00:00,30.000 - 220.000,Quận 3,30000,220000,125000.0
411,Xôi Mặn Ruốc Tươi Kim Nguyệt Viên - Nguyễn Đình Chiểu,"376/48 Nguyễn Đình Chiểu, P.4, Quận 3, TP. HCM",06:00 - 23:00,0 - 0,Quận 3,0,0,0.0
412,TOUS les JOURS - Cách Mạng Tháng 8,"66B Cách Mạng Tháng 8, Quận 3, TP. HCM",00:00 - 00:00,20.000 - 66.000,Quận 3,20000,66000,43000.0
413,Iron Steak - Hồ Xuân Hương,"65B Hồ Xuân Hương, Quận 3, TP. HCM",00:00 - 00:00,20.000 - 90.000,Quận 3,20000,90000,55000.0
414,"The Brownies - Bánh Brownies, Trà & Cafe","70 Đường Số 2, P. 4, Quận 3, TP. HCM",00:00 - 00:00,12.000 - 250.000,Quận 3,12000,250000,131000.0
415,Shin Foodcourt - Cơm Chiên & Mì Xào,"80/58 Trần Quang Diệu, P. 14, Quận 3, TP. HCM",00:00 - 00:00,20.000 - 40.000,Quận 3,20000,40000,30000.0
416,Cô Giàu - Bánh Mì & Xôi Mặn,"147 Trần Văn Đang, P. 11, Quận 3, TP. HCM",00:00 - 00:00,12.000 - 20.000,Quận 3,12000,20000,16000.0
417,Gogi House - Thịt Nướng Hàn Quốc - Lê Văn Sỹ,"254 - 256 Lê Văn Sỹ, Quận 3, TP. HCM",00:00 - 00:00,300.000 - 550.000,Quận 3,300000,550000,425000.0
418,Bánh Cuốn Song Mộc - Vườn Chuối,"107 Vườn Chuối, P. 4, Quận 3, TP. HCM",06:00 - 12:00,25.000 - 40.000,Quận 3,25000,40000,32500.0
419,Th'not - Thốt Nốt Sốt Trái Cây,"134 Vườn Chuối, P. 4, Quận 3, TP. HCM",00:00 - 00:00,0 - 0,Quận 3,0,0,0.0
420,Bánh Mì Chấm Hung Tubes - Nam Kỳ Khởi Nghĩa,"284 Đường Nam Kỳ Khởi Nghĩa, P. Võ Thị Sáu, Quận 3, TP. HCM",00:00 - 00:00,15.000 - 99.000,Quận 3,15000,99000,57000.0
421,TOUS les JOURS - Nam Kỳ Khởi Nghĩa,"382 Nam Kỳ Khởi Nghĩa, P. 8, Quận 3, TP. HCM",00:00 - 00:00,10.000 - 500.000,Quận 3,10000,500000,255000.0
422,Bánh Tráng Trộn Hằng An,"219/15 Trần Văn Đang (Mặt Tiền Đỗ Thị Lời), P. 11, Quận 3, TP. HCM",00:00 - 00:00,15.000 - 25.000,Quận 3,15000,25000,20000.0
423,Yumi Fruit - Trái Cây Sạch & Đồ Ăn Vặt - Shop Online - Nguyễn Đình Chiểu,"241/41 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",00:00 - 00:00,20.000 - 100.000,Quận 3,20000,100000,60000.0
424,Mì Quảng Ăn Là Nhớ - Trần Quốc Thảo,"123A Trần Quốc Thảo, P. 7, Quận 3, TP. HCM",06:50 - 20:45,40.000 - 66.000,Quận 3,40000,66000,53000.0
425,Chảo Restaurant - Bánh Mì Chảo,"31 Trần Quang Diệu, P. 14, Quận 3, TP. HCM",00:00 - 00:00,25.000 - 70.000,Quận 3,25000,70000,47500.0
426,Thanh Hương - Cháo Lòng Hà Nội - Trần Văn Đang,"137 Trần Văn Đang, P. 11, Quận 3, TP. HCM",00:00 - 00:00,10.000 - 45.000,Quận 3,10000,45000,27500.0
427,Hủ Tiếu Bò Viên 1122,"Đối diện 1046/25 Trường Sa, P. 12, Quận 3, TP. HCM",00:00 - 00:00,30.000 - 40.000,Quận 3,30000,40000,35000.0
